Std,Lat,Lon,Ele,Year,Month,Day,Mean,Max,Min,MeanQC,MaxQC,MinQC,Albedo,AT,SSM,UW,VW,LST,NDVI,DOY
58326,3135,11750,309,2019,1,1,15,56,-10,9,9,9,0.180270642042,277.181762695,0.363639295101,0.0304846391082,-1.8790338039400003,28480.0,0.307999998331,1
58326,3135,11750,309,2019,1,2,20,34,-9,9,9,9,0.164029926062,277.891998291,0.361630499363,-2.88745617867,-0.43737402558300004,28648.0,0.307999998331,2
58326,3135,11750,309,2019,1,3,41,65,22,9,9,9,0.144293725491,280.485198975,0.36256664991400006,-3.07115697861,0.526998579502,28785.0,0.307999998331,3
58326,3135,11750,309,2019,1,4,44,56,40,9,9,9,0.114866770804,278.357727051,0.41220200061800005,1.6287856102,-2.41530537605,29028.0,0.307999998331,4
58326,3135,11750,309,2019,1,5,29,40,25,9,9,9,0.102594770491,277.71182251,0.38940918445600003,-0.272314876318,-2.29211616516,28969.0,0.307999998331,5
58326,3135,11750,309,2019,1,6,26,34,17,9,9,9,0.09914276003839999,278.469543457,0.38280081749,-1.2734681367899998,0.0928594842553,28763.0,0.307999998331,6
58326,3135,11750,309,2019,1,7,42,49,31,9,9,9,0.09764216095210002,278.878570557,0.38050153851499996,-1.33518505096,-1.4656995534900001,28830.0,0.307999998331,7
58326,3135,11750,309,2019,1,8,41,47,36,9,9,9,0.0965049415827,278.106414795,0.382307082415,-2.2344386577599997,-2.49497580528,28776.0,0.307999998331,8
58326,3135,11750,309,2019,1,9,5,41,1,9,9,9,0.272880643606,275.17141723599997,0.386915057898,-3.8411471843699996,-1.9617651700999998,28684.0,0.307999998331,9
58326,3135,11750,309,2019,1,10,21,31,10,9,9,9,0.339141756296,275.229492188,0.409034907818,-0.898580610752,-1.1232843398999999,28946.0,0.307999998331,10
58326,3135,11750,309,2019,1,11,35,42,29,9,9,9,0.2556194067,277.368255615,0.422005474567,0.8474034667020001,-1.6044781208,28751.0,0.307999998331,11
58326,3135,11750,309,2019,1,12,29,47,21,9,9,9,0.201490089297,279.181671143,0.408861786127,0.34190610051200004,-1.52273690701,28701.0,0.307999998331,12
58326,3135,11750,309,2019,1,13,34,81,-3,9,9,9,0.160859569907,281.130310059,0.399427235126,-1.70077621937,-0.957677125931,28511.0,0.307999998331,13
58326,3135,11750,309,2019,1,14,35,62,7,9,9,9,0.137257069349,279.898773193,0.391327828169,-2.35283470154,-0.521256506443,28982.0,0.307999998331,14
58326,3135,11750,309,2019,1,15,39,51,34,9,9,9,0.11554275453099999,279.088287354,0.39854285121,-0.8335781097409999,-4.29701900482,28794.0,0.307999998331,15
58326,3135,11750,309,2019,1,16,2,34,-17,9,9,9,0.109515935183,277.141815186,0.384472221136,0.33530020713799996,-0.6933251023289999,28505.0,0.307999998331,16
58326,3135,11750,309,2019,1,17,10,82,-40,9,9,9,0.10504750907400001,280.328948975,0.37797412276299996,1.89917814732,0.530108988285,28595.0,0.324000000954,17
58326,3135,11750,309,2019,1,18,40,111,-11,9,9,9,0.101420007646,283.601013184,0.372613638639,-2.65555739403,1.18312692642,28586.0,0.324000000954,18
58326,3135,11750,309,2019,1,19,68,94,43,9,9,9,0.0989306867123,282.092285156,0.36919954419100004,2.6825580596900003,-0.631642401218,29170.0,0.324000000954,19
58326,3135,11750,309,2019,1,20,50,77,27,9,9,9,0.0976211354136,280.617828369,0.364959925413,0.550671041012,-3.27423405647,28668.0,0.324000000954,20
58326,3135,11750,309,2019,1,21,22,85,-20,9,9,9,0.096992239356,280.15002441400003,0.35998317599299995,2.39889216423,0.8275318145749999,28572.0,0.324000000954,21
