Std,Lat,Lon,Ele,Year,Month,Day,Mean,Max,Min,MeanQC,MaxQC,MinQC,Albedo,AT,SSM,UW,VW,LST,NDVI,DOY
56651,2651,10013,23809,2019,1,1,45,137,-27,9,9,9,0.119292803109,281.162750244,0.22110748290999999,1.62957084179,0.533688366413,29190.0,0.323700010777,1
56651,2651,10013,23809,2019,1,2,48,139,-30,9,9,9,0.11673998832699999,281.087860107,0.21758428215999998,0.763365924358,0.792459726334,29276.0,0.323700010777,2
56651,2651,10013,23809,2019,1,3,71,137,23,9,9,9,0.115133807063,280.692199707,0.21459631621800002,2.4610004425,0.818434357643,29142.0,0.323700010777,3
56651,2651,10013,23809,2019,1,4,48,137,-26,9,9,9,0.11428906023499999,280.792419434,0.211050257087,1.6759172678,1.25410866737,29193.0,0.323700010777,4
56651,2651,10013,23809,2019,1,5,73,157,1,9,9,9,0.11386276781600001,281.793518066,0.207137227058,0.363751232624,-0.193535983562,29577.0,0.323700010777,5
56651,2651,10013,23809,2019,1,6,72,162,-15,9,9,9,0.113532170653,283.69833374,0.20338894426800003,1.60600209236,0.46851995587300005,29317.0,0.323700010777,6
56651,2651,10013,23809,2019,1,7,91,171,-1,9,9,9,0.113388307393,284.45471191400003,0.199368789792,1.26189923286,0.430543631315,29533.0,0.323700010777,7
56651,2651,10013,23809,2019,1,8,64,131,29,9,9,9,0.120152227581,279.111541748,0.20155805349300002,0.658229768276,0.933850884438,28997.0,0.323700010777,8
56651,2651,10013,23809,2019,1,9,58,139,-9,9,9,9,0.119361497462,280.385955811,0.217355802655,1.43707811832,0.921634554863,29006.0,0.323700010777,9
56651,2651,10013,23809,2019,1,10,50,114,-10,9,9,9,0.11761238426,280.478729248,0.222914651036,1.64806103706,1.32624268532,29056.0,0.323700010777,10
56651,2651,10013,23809,2019,1,11,62,140,-10,9,9,9,0.115977652371,280.82421875,0.22192597389199997,1.23143327236,0.253863692284,29118.0,0.323700010777,11
56651,2651,10013,23809,2019,1,12,72,153,-6,9,9,9,0.11493165045999998,282.52664184599996,0.21639393269999999,1.91235303879,0.101997338235,29297.0,0.323700010777,12
56651,2651,10013,23809,2019,1,13,72,174,-16,9,9,9,0.114407449961,283.969726563,0.210566565394,1.4174228906600002,0.5055592060090001,29422.0,0.323700010777,13
56651,2651,10013,23809,2019,1,14,82,167,-1,9,9,9,0.11419228464400001,284.36505127,0.204499557614,1.47803485394,0.761889815331,29390.0,0.323700010777,14
56651,2651,10013,23809,2019,1,15,57,142,-16,9,9,9,0.11414296925100001,282.41897583,0.199421554804,1.3171892166099999,1.3450515270200003,29153.0,0.323700010777,15
56651,2651,10013,23809,2019,1,16,56,144,-25,9,9,9,0.114346474409,281.16619873,0.19514977932,0.598749101162,0.00624524615705,29395.0,0.323700010777,16
56651,2651,10013,23809,2019,1,17,49,163,-40,9,9,9,0.11458049714600001,282.941070557,0.19107028842,0.6940453052519999,1.01398968697,29412.0,0.250600010157,17
56651,2651,10013,23809,2019,1,18,55,144,-15,9,9,9,0.11481538414999999,283.11178588900003,0.187034532428,1.9521051645299998,0.8394843935969999,29196.0,0.250600010157,18
56651,2651,10013,23809,2019,1,19,64,138,-18,9,9,9,0.11506254970999999,282.607330322,0.183473214507,2.9305326938599996,0.475671112537,29222.0,0.250600010157,19
56651,2651,10013,23809,2019,1,20,57,142,-17,9,9,9,0.11532720178400001,281.67666626,0.18080219626400001,0.8067668080329999,1.1160975694700002,29274.0,0.250600010157,20
56651,2651,10013,23809,2019,1,21,57,153,-28,9,9,9,0.11558111012,282.12612915,0.17787723243200002,0.850892901421,1.23073554039,29434.0,0.250600010157,21
56651,2651,10013,23809,2019,1,22,72,151,-4,9,9,9,0.115847408772,283.090789795,0.17505295574700003,1.6440491676299998,0.8955347537989999,29392.0,0.250600010157,22
56651,2651,10013,23809,2019,1,23,96,172,46,9,9,9,0.116107724607,283.451080322,0.172446742654,2.13556313515,0.220987603068,29507.0,0.250600010157,23
56651,2651,10013,23809,2019,1,24,98,161,54,9,9,9,0.11636088043500001,283.492828369,0.16955323517299997,2.4889566898299997,-0.042946908623000005,29451.0,0.250600010157,24
56651,2651,10013,23809,2019,1,25,101,184,50,9,9,9,0.11662553250800001,284.69796752900004,0.16685314476500002,1.1372834444,-0.07915355265139999,29673.0,0.250600010157,25
56651,2651,10013,23809,2019,1,26,76,177,-16,9,9,9,0.11688569188100001,285.873626709,0.16403520107300001,1.46400856972,1.12356483936,29610.0,0.250600010157,26
56651,2651,10013,23809,2019,1,27,96,163,21,9,9,9,0.117150969803,285.479034424,0.16091248393100002,2.09301948547,0.817188978195,29579.0,0.250600010157,27
56651,2651,10013,23809,2019,1,28,107,153,57,9,9,9,0.117415770888,285.604278564,0.15864734351600002,3.4976389408099995,0.540759265423,29403.0,0.250600010157,28
56651,2651,10013,23809,2019,1,29,82,135,59,9,9,9,0.118180729449,284.362060547,0.15782612562200002,2.32527327538,1.57941782475,29292.0,0.250600010157,29
56651,2651,10013,23809,2019,1,30,72,110,46,9,9,9,0.20931430160999998,279.846099854,0.25098901987100003,0.992559731007,1.19951415062,29419.0,0.250600010157,30
56651,2651,10013,23809,2019,1,31,72,165,-18,9,9,9,0.18225328624200002,282.38586425799997,0.24924814701099998,0.981630325317,0.550186812878,29607.0,0.250600010157,31
56651,2651,10013,23809,2019,2,1,91,181,3,9,9,9,0.161664575338,285.06237793,0.24432477355,1.5234769582700003,0.464156657457,29779.0,0.250600010157,32
56651,2651,10013,23809,2019,2,2,111,176,78,9,9,9,0.14482280612,284.800750732,0.238219723105,2.1485772132900003,0.670764029026,29582.0,0.21799999475499998,33
56651,2651,10013,23809,2019,2,3,97,166,53,9,9,9,0.134523361921,283.549438477,0.23055456578699998,2.12399554253,0.291190385818,29678.0,0.21799999475499998,34
56651,2651,10013,23809,2019,2,4,85,161,30,9,9,9,0.128499984741,283.188568115,0.222250044346,2.6747169494599996,0.351931452751,29457.0,0.21799999475499998,35
56651,2651,10013,23809,2019,2,5,99,189,11,9,9,9,0.12487868964700001,284.036804199,0.214255988598,0.783856570721,0.21381798386599998,29874.0,0.21799999475499998,36
56651,2651,10013,23809,2019,2,6,102,187,9,9,9,9,0.12250659614800001,285.163085938,0.20592084526999999,2.62472677231,-0.238770544529,29907.0,0.21799999475499998,37
56651,2651,10013,23809,2019,2,7,116,194,65,9,9,9,0.12134812027200001,285.342773438,0.197773113847,2.3362023830400003,-0.136289894581,29848.0,0.21799999475499998,38
56651,2651,10013,23809,2019,2,8,138,208,93,9,9,9,0.12084376812000001,287.227386475,0.190077215433,2.55272722244,-0.054501660168199996,29986.0,0.21799999475499998,39
56651,2651,10013,23809,2019,2,9,131,198,81,9,9,9,0.12075880914899999,287.592041016,0.182765141129,3.11117005348,1.9474500417700003,29519.0,0.21799999475499998,40
56651,2651,10013,23809,2019,2,10,124,189,69,9,9,9,0.120996147394,284.770904541,0.18560801446400002,2.57258915901,1.9139777422,29788.0,0.21799999475499998,41
56651,2651,10013,23809,2019,2,11,107,186,23,9,9,9,0.12114595621799999,284.362487793,0.180644437671,1.69433367252,0.833938777447,29847.0,0.21799999475499998,42
56651,2651,10013,23809,2019,2,12,96,179,19,9,9,9,0.12135989219,286.419403076,0.173637315631,3.1765677928900002,0.9495446681980001,29910.0,0.21799999475499998,43
56651,2651,10013,23809,2019,2,13,100,190,33,9,9,9,0.12160243094,286.01916503900003,0.16731552779699999,2.1671910285900005,-0.308791071177,30048.0,0.21799999475499998,44
56651,2651,10013,23809,2019,2,14,98,187,4,9,9,9,0.12184882164000001,286.785339355,0.161807850003,2.2173891067500002,0.474262207747,29889.0,0.21799999475499998,45
56651,2651,10013,23809,2019,2,15,115,180,66,9,9,9,0.122122019529,287.481933594,0.157089650631,4.15491008759,0.282344043255,29996.0,0.21799999475499998,46
56651,2651,10013,23809,2019,2,16,117,185,78,9,9,9,0.122445367277,285.564697266,0.155187875032,3.1642403602599996,0.408799260855,29780.0,0.21799999475499998,47
56651,2651,10013,23809,2019,2,17,80,127,45,9,9,9,0.18630212545400002,280.138580322,0.183476835489,0.616558074951,1.2442443370799998,29314.0,0.21799999475499998,48
56651,2651,10013,23809,2019,2,18,67,136,15,9,9,9,0.15589959919500002,281.355255127,0.19549858570099998,2.57602095604,-0.0881283730268,29107.0,0.306899994612,49
56651,2651,10013,23809,2019,2,19,79,122,42,9,9,9,0.14497642219100002,281.749664307,0.199230745435,2.4600534439099997,1.08891713619,29253.0,0.306899994612,50
